Username,Record,Pick,Odds,Units,Sport,League,Event Time/Time Zone,Reasoning
Pale_Tea_8937,"27-17 (+10.88u)","Forest Draw no Bet",1.75,2,Soccer,Premier League,"Nottingham Forest vs Manchester United","Forest are coming off a FA Cup quarter-final win against Brighton—which was another solid performance from them. Now back on home turf, they remain unbeaten in their last 10 home matches. They have made the City Ground a tough place for any opponent. Meanwhile, Manchester United have shown some solid performances recently. They are unbeaten in their last seven matches. Their run includes a win over Real Sociedad, a draw against Arsenal, and a victory over Ipswich despite having red card. However, Nottingham Forest have been one of the season's surprise packages, taking down several strong teams. They even defeated Manchester United at Old Trafford earlier this season. Chris Wood’s injury is a setback for Forest, But I think Forest are still capable of winning without him."
dreamchasing1,"110-104 (-2.04U)","total corners over 9.5",1.80,1.5,Soccer,Spain Copa Del Rey,"Real Madrid vs Real Sociedad","16 corners in the first leg, both teams can generate corners as they are top of the table in corners in La Liga - 5.60 for Madrid (10 total), 5.40 for Real Sociedad (10.10 total). The two teams have met in the league as well in a game that had 12 corners. Real Sociedad are down a goal here so we can expect them to try to attack, whereas Real Madrid won't sit on a 1 goal lead. Real Madrid have currently cleared this line in last 8/9 games in all competitions, with them not in perfect form can see them allowing plenty chances here."
Heftystew,2-1 (+1.59u),"o2.5 total goals",+103,3,Soccer,Premier League,"Arsenal vs Fulham | 2:45 PM ET","Now onto today’s pick. Today, I have 5 words that summarize this pick. “The return of Bukayo Saka.” A long-awaited day for the gunners, especially with their struggles to score of late in the Premier League. This is the spark that they so desperately needed. Mikel Arteta was asked if Bukayo Saka was fit enough to start the match tomorrow against Fulham to which he responded, “yeah.” If you’re an Arsenal fan, you have to be jumping up and down right now! Bukayo Saka seems to be back just in time for the final stretch of their season. Their most influential player despite being out for the past 3 months. He has the second most big chances created in the league (19) only behind Mohamed Salah, and he hasn’t played since December. 15 direct goal contributions in 16 games so far this season, again, only second to Mohamed Salah. This is a breath of fresh air for Arsenal. They don’t have much to play for in the Premier League in all honesty as they are well behind Liverpool in the title race (12 points back) as well as having a 10 point cushion in the race for direct champions league qualification for next year. They do, however, have a Champions League matchup in one week against Real Madrid. They’ll want to get their starters involved in the two premier league games leading up to this beautiful clash to ensure that the team is firing on all cylinders, especially after the long international break. Think of their matchups against Fulham and Everton this week as an opportunity for Arsenal to boost their confidence and arrive to the big day with Real Madrid in good form. The vibes at Emirates Stadium must be immaculate for the match tomorrow! The return of their franchise player and the appointing of a new sporting director in Andrea Berta from Atletico Madrid both in the same week. Expect Arsenal to enjoy their football tomorrow. Fulham, their rival, have a lot to play for. This game will not be a brush over for Arsenal. Fulham are currently sitting 3 points outside of Europa League spots. They cannot afford to drop many points from now until the end of the season if they want to aspire to play continental football next season. The FA Cup was their lifeline with 5 of the Big 6 already eliminated in the competition, but after falling to Crystal Palace earlier this weekend and getting eliminated from the competition, the Premier League is their only avenue to European football for next year. Expect them to push for points in this encounter. Arsenal are averaging exactly 2 goals per game in league play at home this season even despite recent struggles. Fulham are averaging exactly 1.5 goals away from home in league play this season. Lastly, 12 of the last 17 games between these two teams have gone over the 2.5 goals mark. The same is true for 5 of the last 8 when Arsenal is the home team in this rivalry."
OverUnderAchievers,"12-6 (+6.29U)","Blues 60 min ML",-120,2,NHL,NHL,"Red Wings @ Blues | 7:00 PM CST","Time to shake the cobwebs off with W. Blues are hot right now and I don’t think Detroit is going to be the team to cool them off. Granted 4 of their last wins have been against the Nashville and Chicago who have no shot at getting into the playoffs. I still see Blues having a similar game to their last meeting in December. Blues have been winning decisively so I see little chance of this game going to OT. Some things to look out for: Colton Parayko is out this game. The last time the Blues played the Red Wings Parayko was on the ice for all four goals in their 4-0 shutout and assisting in two of those goals."
Noobdian1,"81-55-1 (2025: 8-4)","Blackpool vs Reading BTTS",1.76,3,Soccer,England League One,N/A,"We’ve got the best home BTTS team in the league, Blackpool (68%) going up against the 3rd best away BTTS team Reading (72%). Also Blackpool have failed to score at home in only 26% of their games while reading have failed to score on 28% of their away games. BTTS has hit in 2/3 times Blackpool hosted reading, with two matches being high scoring at 4-1 each."
PurpleDragonBets,"(17-11) [+6.67]","Villanova ML",-165,1.65,NCAAB,NCAAB,"8:30pm EST (FS1)","My thought process: Now before anyone questions it I know Villanova is without their head coach but I believe Interim coach Mike Nardi will be able to lead the Wildcats to victory and the Wildcats have more talent on their roster so I am betting on the players playing not the coaches. The big12 looked rough in the first day of the CBC while the big east looked good with Utah losing to Butler and with this matchup with a worse big12 team and a better big east team I cant deny this matchup as I believe the Wildcats being without their head coach is the only reason why the odds are close in this game. The Villanova Wildcats (19-14) are coming into this matchup finishing 6th out of 11 in the big east with a conference record of 11-9 in the big east. The Colorado Buffaloes (14-20) finished last in the big12 out of 16 teams and had a conference record of 3-17. Villanova has some quality wins this year with wins over Cincinnatii by 8, Uconn by 2, Xaiver by 12, Marquette by 15 and the big east champs St Johns by 2. Colorado only has one real quality wins with a win over Uconn early in the year in November of 2024, their team went on a steady decline after that, going on a 13 game losing streak when conference play started. One thing that sticks out to me is that there is a net ranking difference of 31 between these two teams and you usually dont get a net ranking differential of 25-30+ and the odds not being -200 or lower so the ML at -165 sticks out to me. Villanova has the edge in PPG, oPPG, FG%, FT% (#5 in nation), Turnovers, NET & RPI. I am expecting Eric Dixon and the Wildcats to run past the Buffaloes in this matchup and compete for a share of NIL money for the top 4 teams in this tournament."
Hey52511,7-2,"Bucks -6.5",N/A,N/A,NBA,NBA,N/A,"Alright I'm gonna look like a suns hater since ive bet against them a lot butttttttt I was writing that I was taking an alt line, but I was writing it out I was like hell na, the suns dont have KD, this may sound like an okay so what? This dude has literally been the sole reason for all of the suns wins, the fact this is not at -7.5 or -9.5 is mind blowing. Now look I understand the suns are DESPERATE to win as they face the Celtics next, and need to win to stay in the Play in as they are one game behind the kings But the truth is their ASS like what? In that Suns home game win streak KD had to carry I mean carry this team, 26 points, 8 Assists against the bulls stops the hot bulls team, Cleveland TOP SEED? 42 Points, 8 Assists, 38 Points, 5 Assists against the Bucks btw that's nearly half of this teams dam team total points at 108 vs the Bucks at 106 and then 30 points against the Celtics and 23 Points to the Wolves. My favorite part, thats so funny to me 23 minutes injured with 11 points, no one scored higher then 11 but Devin Booker at 28. Now dont get me started, Grayson Allen has been doing the same mistake passing mid air turning it over, and one that's unseen NICK RICHARDS. This man for whatever reason is not on the same wave length at the moment, maybe this may change with him needing to step up and learning from his mistakes, but he has messed up easy layups, not screening correctly where it forces teams to take the wrong shots or even better turning the ball over. Tyus Jones is also a defensive liability, Collin Gillespie has 0 confidence in himself even though hes an amazing shooter. And please don't get me started on Ryan Dunn yes he had a cool dunk, but hes a rookie same with Oso yes these guys are amazing for rookies but they simply do not know how to cut or score, with so many miscommunications that happen commonly, this can literally be seen with grabbing a rebound when shooting free throws, yes they somehow miss those boards. Not only this, but coach Buds completely COOKED THIS TEAMS CONFIDENCE LMFAO he has not played bol bol at all yes the man who dropped 20 bombs 3 games in a row to now play yes 17, 1 ,6 ,6, 9 minutes. Not only this but the Bucks got destroyed by the hawks this is a great chance to gain momentum against this suns team. Especially when you get blown out by 21, I'm sure they want to show their not a joke. I also love that the Bucks lost the to the Suns originally, it forces teams to get back, or be serious especially when they whine and trash talk to each other. Now the best part is KD is injured, and yes this guy Devin Booker cries about getting double teamed. I also think the fact they have lost there last 3 in yes 20-30 deficits, makes team moral know that they are so done for especially when your best player is now gone. Also the Bucks Schedule also plays some bad teams but they want the fifth seed which they are 2 games behind, so I expect this to still be taken seriously. The only concern there is is how hot the suns can get hot Royce, Allen, Tyus deadly streaky shooters. But I love a guaranteed bucket which is Giannis, who is going to guard him not only this but the Bucks play at home. And shooters (AJ Green, Gary Treant Jr, Kevin Porter Jr) love a home crowd especially the young rookie Ryan Rollins, the giant Brook Lopez has also looked good against the nuggets where he had no one same with Prince. Overall this suffocating defense and I think guaranteed bucket Giannis and losing to the Suns before creates a amazing opportunity to get a great win"
jaysial,"40-21 (+9.57U)","Total runs under 540.5",1.9,N/A,Cricket,Oneday International,"New Zealand vs Pakistan","Starts in about 20 Hours"
nigerianPriince0,83W-4P-64L,"José Sa over 2.5 Goalkeepr saves",1.68,N/A,Soccer,Premier league,"Wolverhampton vs Westham | 3:00 PM","Keeping this short for now then will update when i have more time. We’ve entered the run in the prem, and that’s when teams become a little less reserved. Expecting West ham to have their shooting boots on and push Jose Sa to be at his best tomorrow. Sa has covered this line in 4 out of his last 6 games and I see that continuing tomorrow."
drLobes,27W-15L-2P,"Wrexham ML",1.72,1,Soccer,England League One,"Cambridge vs Wrexham","Wrexham are in 2nd place in the league, the place which gets them automatic promotion without any playoff games. They are 3 points ahead of 3rd place Wycombe, but Wycombe has one less game, so Wrexham needs to win today as well to keep ahead and will want to get the win today especially against a second from the bottom team without many hopes of not getting relegated (they are 11 points behind the last team to avoid relegation with only 7 games to go). Apart from that, Wrexham have a good run of form in recent games, winning 5 of their last 6 games, 3 of the wins being in away games. Cambridge (#23) did manage 2 draws in their last 2 games, but they were a 1-1 against #19 Northampton (a lucky draw I would say as Cambridge had no shots at all in the first half of the game), another team that fights to stay above the relegation zone, and a 1-1 draw against #11 Barnsley, a team that experienced a bad run with 3 losses in a row before the draw against Cambridge. Wrexham in their last 3 games have 3 wins in a row, managing to beat #5 Stockport and #3 (now) Wycombe, ""slightly"" better teams than Cambridge, and a 2-0 win away against Exeter who managed only one shot on target. Did I say that Wrexham managed to keep clean sheets in all their 5 recent wins? They must be doing something well in defense too."
isaac44332211,1-0 (+2u),"Yankees vs. Diamondbacks over 8 runs",-118,3,MLB,MLB,"6:05 PM CST","Arizona is averaging 6.75 runs/game so far in 2025 and the Yankees are starting Will Warren who had a 10.32 ERA in 2024. Even though things are looking up for him he still needs to make improvements. Arizona could hit this over on their own not to mention the Yankees and their new torpedo bats mashing the baseball. Even with Corbin Burnes out there for Arizona the Yankees are bound to score some runs. I would be surprised if the over didn’t hit given how each of these teams have started the season."
Mopar44o,"23-18 (+16.58U)","Sabers Money line",2.65,1,NHL,NHL,"Sabers vs Senators","Today I’m going with a straight dog in this fight so no need to worry about covering a spread.... Both teams have played well as of late. Buffalo going 6-4 while Ottawa going 6-3-1. Both have beaten some decent competition as of late as well, but Ottawa is a playoff team and I’d expect them to. Buffalo on the other hand, well they got a 31-36-6 record but have recorded wins against Washington, Winnipeg, and Vegas in the last 10 games, all teams leading their divisions. These teams have played each other 3 times this season so far and Buffalo has given Ottawa fits each time winning 5-1, 4-0, and 3-2. I think this is a testament to how both their goalies have played well against the Senators this season, and in their careers. Luukkonen is 4-1 with a .919 save % against Ottawa life time (2-0 this year). While Reimer is 18-6-4 with a .925 save % lifetime (mostly from his time with Leafs and Florida) and 1-0 this season. Past results are not an indicator of future performance as we all know.. Which is why I generally like to consider only play over last 10 games in the same season when making my picks. But given that the Sabers have gone 3-0 against the Sens this year, their great play as of late, and how well both goalies have played Ottawa, I think that 2.65 is great value here on the money line."
major-couch-potato,"103-88 (-3.38u)","Benchetrit +6.5 games",-150,1,Tennis,ATP Marrakech,"7:00 AM EST","Pretty easy cover for Baadi. The first game was pretty wild with over 9 deuces, and painted a picture of what most of the match would end up looking like. For today's pick, I've actually found another big underdog spread that I think there's some value in, as I'm going with Elliot Benchetrit to cover against Jesper De Jong. While Benchetrit currently plays primarily on the Futures tour, that wasn't actually always the case, as he made the second round of Roland Garros in 2019 and reached a career high ranking of No. 198 in the world in 2020 before falling out of form. However, even as Benchetrit has seen his ranking slip into the 600s, he continues to put in solid performances against top players every year here in Marrakech, where he has gotten a wildcard every year since switching his flag from France to Morrocco. Last year, he took on Pavel Kotov and came back from 5-1 down in the first set to post a respectable 5-7, 3-6 scoreline; in 2023, he covered this spread in a 6-4, 6-4 loss to Munar, and in 2022, he faced a gargantuan task against Felix Auger-Aliassime but still managed to cover this spread with a 6-3, 6-3 loss. Slow clay and high altitude seem to be the perfect conditions for Benchetrit's game, and De Jong really struggled to adjust to the altitude when he played two weeks in Kigali about a month ago, as he entered as one of the outright favorites for both tournaments but came out of the trip with no wins and a retirement in the second event, so I think the conditions should favorite Elliot here. Combining that with the fact that Benchetrit has a solid serve, I just don't expect him to get blown out on the scoreboard here and really like him to cover."
ThatDoodch,"19-12 (+6.94u)","NRFI - under 0.5 total 1st inning runs",-140,2.5,MLB,MLB,"New York Mets at Miami Marlins 6:40 PM ET","Can’t seem to rip off a winning streak here. Hopefully this one starts one! This is an ace vs ace matchup. Yes, Senga missed the majority of last season - but was one of the best pitchers in baseball in 2023. Alacantra has lone been pretty much one of the only if not the only bright spot on horrible Marlins squads the last few years. A prime candidate to finally make his way out Miami at some point this year, look for Sandy to have a quality start and a shutdown early part of the game. Lindor, who sat out today due to the birth of his son, is off to a typically cold start to his season. Soto could threaten to bust this with a HR, but I like the pitching matchup for a lower scoring/close game."
ceckl246,2-0 (+2.3U),"Luis Severino o5.5 strikeouts",+120,1,MLB,MLB,"Chicago Cubs at Sacramento A's | 10:05 PM EST","Alright, so we got a little lucky with Schwarber homering off a reliever he’d never seen before in the 7th. That being said, Vodnik was still a righty and Schwarber did his thing with the platoon edge. The man is an extra-base machine. That being said, I’m not in love with total base bets because walks are not included and very much a part of the game. This pick is in favor of a pitcher. … with ownage of course. Yeah, the A’s just got blasted tonight (Monday) by the Cubs, but that doesn’t matter. Luis Severino owns the Cubs. In two starts with the Mets last season, Severino threw 14 innings against the Cubs, recording 15 strikeouts and allowing one earned run. I don’t have to tell you that’s pretty good. On top of that, the Chicago Cubs currently lead baseball in strikeouts with 60 as a team. I know they’ve played two more games than most of the competition, but the Cubs are a team with plenty of swing and miss up in their lineup. Against Severino here are some Cubs #s … PCA 0/5 two strikeouts ... Ian Happ 1/7 with four strikeouts ... Nico Hoerner 1/8 w/ one K ... Seiya Suzuki 0/3 w/ one K ... Michael Busch 0/5 w/ two Ks ... Dansby Swanson 1/5 w/ two Ks ... Justin Turner 1/4 w/ three Ks ... I think Severino hits the over on strikeouts. BOL!"
JohnDalyLite,"4-0 (+5.01u)","Diamond Backs vs Yankees O8.5 Runs",-110,2,MLB,MLB,"7:05 pm EST","The Phillies did not get an early run like I believed they would but they did get a lead and hold onto it leading to a 6-1 victory. the Phillies have been struggling to get runs in the first 5 so there maybe bets coming for that later if the lines are good. On to todays pick which is over 8.5 runs in the Diamondbacks and Yankees game. this should be a easy game to hit the over on as both teams are highly capable of scoring with both having over 25 runs scored this year. There is one glaring issue with this matchup and that is Corbin Burnes is starting for the Diamondbacks who is a very solid pitcher and could give the Yankees batters trouble. On the good side though is the Yankees are starting Will Warren who had a 10.32 era last year in six games which should allow the Diamond backs to get some runs. Expect this game to be close which should allow the over to hit."
FRANKLINC69420,"71-48-4 (+28.11U)","Tampa Bay Rays -1",-120,1.2,MLB,MLB,"Pittsburgh Pirates","This is only a steal of a price on ESPNbet, should be around 6 or 7 cents lower on other books. It has not updated on their books yet that Thomas Harrington is starting for the Pirates, so there's value here. Going to continue on MLB today, and I really like this spot for the Rays. Obviously we know what unfortunately happened with the Rays and Hurricane Milton, last year which wrecked Tropicana Field, so they are playing at the Yankees' Spring Training Facility, I think this is a team that has a chip on their shoulder this entire season now. This is also pretty good for the Rays, because Tropicana Field is known for being a pitcher friendly ball-park, so maybe we see some positive regression for this Rays team? They will be taking on Thomas Harrington as I mentioned, who was the Pirates 1st round selection in 2022, but does not have any real major league experience. The Rays will be sending out Shane Baz, who had a great season for the Rays last year, and although having a pretty bad Spring Training, baseball reference projects him to still have a 3.6 ERA, 1.16 WHIP season which are decent numbers from a starting pitcher. The Pirates are a team who basically did little to add for Skenes, getting Spencer Horwitz from the Jays and Veteran Tommy Pham. Well Horwitz's start is delayed due to injury, so this is basically the same lineup as last year, the only players that had an above average wRC+ were 38 year old Andrew McCutchen and Bryan Reynolds. I think the Rays are still an 80 win team with their losses last season, to Siri and Paredes. As long as Shane Baz stays solid, this Rays team should be able to get the job done."
manacrickle,8-3 (+2.90u),"Padres ML",1.58,1,MLB,MLB,"Guardians vs Padres","Padres are red-hot this season, with a 5-0 start. They host the guardians and are looking for their sixth win of the season. I expect a Michael King masterclass as well as a slug fest for the batters. Not worried about Logan Allen on the mound and will happily bet against him. BOL if you're tailing, as you all may already know baseball can be quite volatile so bet small."
Resident_Foot_9735,"3-1-1 (+2.83U)","Yankees/Diamondbacks Over 8 runs",-118,N/A,MLB,MLB,N/A,"Taking a break from the run lines to pick a somewhat safe & predictable over. (Knocking on wood, torpedo bat wood). There’s two main reasons I’m taking the over, both teams have strong offense, the Yankees are, well the yanks. & diamondbacks are facing a borderline unproven pitcher. I’m too chicken to take a run line bet on this game because truly I could see either team winning, but I’m almost certain it will be a strong offensive game for both teams. Maybe Warren will hold his own and prove me wrong, but with the momentum of the Yankees I’ll probably ride with them offensively until it wears off."
Ok_Hurry6382,0-1,"Punjab Kings ML",-105,N/A,Cricket,IPL,"LSG VS PBKS 10:00 am EST","Both teams are amazing tomorrow but Punjab will come out on top. I expect LSG’s biggest batsman Pooran to shit the bed tomorrow. He is good but he is gonna fuck up and be gone straight to locker room. Punjab bowlers will perform well. LSG already lost one game already which showed that even team like DC can play against LSG bowlers and hit boundaries looking at that Punjab is my pick."
Whoopsidaisies4,2-3 (-1.00U),"Rangers ml",-142,N/A,MLB,MLB,N/A,"Back on track with the big 7th inning from philly. Schwarbs made me a boatload today with that bomb. Feeling pretty good about things thus far, could easily be 4-1 if not for 2 late unearned runs. Moving to the rangers tomorrow night after getting thumped today. They have the giant advantage in starting pitching, and they didn't use any high leverage guys out of the pen today because of how ugly it got. Eovaldi threw 87 really good pitches opening day so it looks like he's already pretty stretched out. Reasonable to think we get 6+ out of him. I believe in this rangers offense and think it's going to explode one of these days here soon. Might as well be tomorrow against a guy with a career 5.46 ERA in over 100 innings. Rangers should lead this one early and hopefully we don't see the backend cough it up. Let's get a little streak going"
Ill_Glass_279,4-0,"Seattle Mariners -0.5 First 5 Innings Run Line",-122,N/A,MLB,MLB,"Detroit Tigers @ Seattle Mariners 9:40 PM est","The Tigers looked fantastic last night, jumping out to a 6-0 lead in the first inning and never looking back, eventually winning 9-6. Today the Tigers are sending Casey Mize to the mound for the start. Mize is at a weird place in his career. He turns 28 next month, it feels like he gets injured every year, and he's now in his 7th year since being taken 1st overall by the Tigers back in 2018. He's also at this point where if he's pitching in the minor leagues he's dominant, but if he's pitching in the majors he's simply average. This Spring, Mize looked incredible. He had a 1.89 ERA in over 19 innings pitched. However, to me those stats are misleading because he wasn't facing the best competition. He typically faced batters who were AAA or worse quality hitters. I have as much hope and belief in Mize as the next Tigers fan, but at this point in Mize's career there's more hype/hope in the pitcher than their are results from the pitcher. The Mariners counter with Logan Gilbert on the mound. Gilbert last season had a misleading record with great stats. He went 9-12 with a 3.23 ERA and 220 strikeouts over 208.2 innings pitched. He was also an All Star last year while finishing 6th in the AL Cy Young voting. Gilbert picked up right where he left off last season in his first start going 7 innings and only giving up 1 run against the A's in their season opener. Last night the offenses were on fire for both teams. Combining for 26 hits and 15 runs. For the Tigers however, it felt like they used a lot of good fortune to get those hits and runs. They had multiple infield singles, multiple broken bat singles, and multiple bloopers that happened to land between 2 or 3 fielders. Don't get me wrong, those are clean hits that I'd take any day of the week, but they also rely on some luck. I mean the Tigers 7 through 9 hitters in the lineup went 9-15, having half of the Tigers hits. I'm not sure that will happen again all season. Everything came easy for the Tigers offense last night, and Logan Gilbert is going to make life much more difficult for them in this one. The Mariners offense hit almost everything hard last night, and Mize historically gives up 2 to 3 runs every 5 innings pitched. If those things remain true then the Mariners should be able to win the first 5 innings in this one."
Timely-Conclusion532,"143-78 (+16.69u)","Golden State Warriors vs Memphis Grizzlies under 246.5",-198,N/A,NBA,NBA,"8:10 PM EST","Memphis and Golden State have played each other 3 times this year and all 3 games have gone under 246.5. Memphis and Golden State both have gone under in 2 of their last 3 games. Memphis are top 10 in multiple defensive shooting categories. Golden State defense has been locked in as of late. They have held teams to 104 points per game in their last 3 games. Memphis commit a lot of turnovers and Golden State are among the best at forcing turnovers. Golden State is coming off a 148 point performance against the Spurs and Memphis play at the fastest pace in the league which has the public heavily betting on the over. However, Memphis is for the most part healthy and are on a back to back having lost 3 straight looking for a much needed win. On the other hand, Golden State has been a different team since Jimmy Butler arrived and is rested. GS should be locked in defensively in this important western conference matchup. Public fade"
